run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title	bam_ftp
SRR7641592	SAMN09755545	SRX4505055	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/002/SRR7641592/SRR7641592_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/002/SRR7641592/SRR7641592_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/002/SRR7641592	TLA-18785	LRRK2*G2019S	
SRR7641565	SAMN09755513	SRX4505082	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/005/SRR7641565/SRR7641565_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/005/SRR7641565/SRR7641565_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/005/SRR7641565	TLA-4191	HLA-A/H2-D	
SRR7641594	SAMN09755545	SRX4505053	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/004/SRR7641594/SRR7641594_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/004/SRR7641594/SRR7641594_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/004/SRR7641594	TLA-18785	LRRK2*G2019S	
SRR7641567	SAMN09755511	SRX4505080	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/007/SRR7641567/SRR7641567_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/007/SRR7641567/SRR7641567_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/007/SRR7641567	TLA-3802	Lck-cre	
SRR7641596	SAMN09755546	SRX4505051	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/006/SRR7641596/SRR7641596_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/006/SRR7641596/SRR7641596_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/006/SRR7641596	TLA-18786	LRRK2*R1441G	
SRR7641569	SAMN09755547	SRX4505078	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/009/SRR7641569/SRR7641569_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/009/SRR7641569/SRR7641569_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/009/SRR7641569	TLA-22501	Wnt1-Cre(2)	
SRR7641598	SAMN09755538	SRX4505049	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/008/SRR7641598/SRR7641598_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/008/SRR7641598/SRR7641598_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/008/SRR7641598	TLA-13725	LRRK2	
SRR7641573	SAMN09755526	SRX4505074	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/003/SRR7641573/SRR7641573_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/003/SRR7641573/SRR7641573_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/003/SRR7641573	TLA-8085	UBC-cre/ERT2	
SRR7641599	SAMN09755543	SRX4505048	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/009/SRR7641599/SRR7641599_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/009/SRR7641599/SRR7641599_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/009/SRR7641599	TLA-17682	Thy1-SCNA (line 15)	
SRR7641575	SAMN09755523	SRX4505072	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/005/SRR7641575/SRR7641575_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/005/SRR7641575/SRR7641575_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/005/SRR7641575	TLA-6823	Prnp-SCNA*A53T (line 23)	
SRR7641600	SAMN09755542	SRX4505047	PRJNA483560	10090	Mus musculus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/000/SRR7641600/SRR7641600_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR764/000/SRR7641600/SRR7641600_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR764/000/SRR7641600	TLA-16936	Thy1-SCNA (line 12)	
